Codigo,Nombre,Apellido,Correo,Cargo
1,Juan,Perez,juan.perez@example.com,Desarrollador
2,Maria,Gomez,maria.gomez@example.com,Analista
3,Carlos,Lopez,carlos.lopez@example.com,Tester
4,Ana,Martinez,ana.martinez@example.com,Gerente
5,Luis,Rodriguez,luis.rodriguez@example.com,Consultor
6,Laura,Fernandez,laura.fernandez@example.com,Ingeniero
7,Jose,Gonzalez,jose.gonzalez@example.com,Arquitecto
8,Sofia,Garcia,sofia.garcia@example.com,Especialista
9,Diego,Hernandez,diego.hernandez@example.com,Coordinador
10,Elena,Ramirez,elena.ramirez@example.com,Supervisor
11,Andres,Morales,andres.morales@example.com,Director
12,Claudia,Castro,claudia.castro@example.com,Asistente
13,Pedro,Ortiz,pedro.ortiz@example.com,Programador
14,Isabel,Silva,isabel.silva@example.com,Administrador
15,Victor,Reyes,victor.reyes@example.com,Operador
16,Carolina,Diaz,carolina.diaz@example.com,Contador
17,Manuel,Medina,manuel.medina@example.com,Auditor
18,Patricia,Suarez,patricia.suarez@example.com,Secretaria
19,Ricardo,Romero,ricardo.romero@example.com,Consultor
20,Monica,Alvarez,monica.alvarez@example.com,Gerente
